Item Item DOI,question_text
10.21019/qna-400122,Choose the correct statement concerning placement of items in the laminar flow workstation and working in the laminar flow workstation.
10.21019/qna-400126,"When performing sterile compounding with hazardous medications, what consideration is necessary? (Select ALL that apply.)"
10.21019/qna-400127,"When using sterilization by filtration techniques during sterile compounding, which practice is required when specified by the filter manufacturer?"
10.21019/qna-400128,"When using sterilization by filtration techniques during sterile compounding, what consideration is necessary? (Select ALL that apply.)"
10.21019/qna-400130,Choose the correct statement.
10.21019/qna-400131,Choose the correct statement.
10.21019/qna-400132,Choose the correct statement.
10.21019/qna-400133,Which of the following best describes the purpose of the plenum in a laminar flow workbench?
10.21019/qna-400158,Which of the following is the process whereby the ribosome in the cytoplasm reads mRNA codons and matches them with the appropriate tRNAs (which in turn carry amino acids responsible for protein synthesis)?
10.21019/qna-400160,Which of the following is a plasmid designed to allow for the expression of an inserted gene within a host cell for the production of the specified protein?
10.21019/qna-400161,An example of a recombinant DNA-generated cytokine used for the management of acute relapsing-remitting multiple sclerosis is which of the following?
10.21019/qna-400167,The repair or correction of a dysfunctional gene by selectively introducing recombinant DNA into cells or tissues (ultimately leading to the expression of a functional gene product) best describes which of the following?
10.21019/qna-400170,"Which of the following best describes the scientific discipline which uses genetic variation, including multiple genes, to predict or describe drug response?"
10.21019/qna-400173,A drug discovery strategy that utilizes nucleic acids and amino acids in various combinations to synthesize vast libraries of oligonucleotide or peptide compounds for high throughput lead compound screening is which of the following?
10.21019/qna-400174,The application of computer sciences and information technology to the management and analysis of biological information best defines which of the following?
10.21019/qna-400193,Possible complications that the patient is at risk to develop secondary to uncontrolled hypertension include which of the following? (Select ALL that apply.)
10.21019/qna-400194,Education regarding lifestyle modification issues for a patient with hypertension should include which of the following?
10.21019/qna-400197,"If the patient is not able to tolerate lisinopril due to adverse effects such as cough, which of the following would be the best alternative agent?"
10.21019/qna-400198,Which of the following combinations represents guideline-based pharmacotherapy for a patient with stage C heart failure with a reduced ejection fraction (HFrEF)?
10.21019/qna-400199,Which of the following mechanisms most likely contributes to the benefits of beta-blockers in the treatment of heart failure?
10.21019/qna-400200,Appropriate monitoring parameters for enalapril therapy in the treatment of heart failure include which of the following? (Select ALL that apply.)
10.21019/qna-400201,Patients taking eplerenone for heart failure should avoid taking which of the following?
10.21019/qna-400202,Which of the following are adverse effects of digoxin? (Select ALL that apply.)
10.21019/qna-400203,Heart failure may be exacerbated by which of the following medications?
10.21019/qna-400204,A cough is an adverse effect associated with which of the following medications?
10.21019/qna-400205,Which of the following ACE inhibitors has the shortest duration of action?
10.21019/qna-400206,Which of the following adverse effects of lisinopril can be avoided by switching to candesartan?
10.21019/qna-400207,A significant interaction can occur if digoxin is administered with which of the following?
10.21019/qna-400208,Which of the following medications can cause bradycardia? (Select ALL that apply.)
10.21019/qna-400209,Which of the following is contraindicated in patients with a history of lisinopril-induced angioedema?
10.21019/qna-400210,Nesiritide would be indicated in patients with which of the following?
10.21019/qna-400211,Which statements accurately describe the role and monitoring of furosemide in managing heart failure? (Select ALL that apply.)
10.21019/qna-400212,Which statement accurately describes how beta-blocker therapy should be initiated and titrated in patients with heart failure?
10.21019/qna-400213,The dose of which of the following medications should be reduced in patients with renal insufficiency?
10.21019/qna-400214,Which statement accurately reflects recommendations for digoxin therapy in patients with chronic heart failure?
10.21019/qna-400215,Which of the following beta-blockers also blocks alpha-1 receptors and is effective for treating heart failure?
10.21019/qna-400216,Patients with heart failure that experience fluid retention after beta-blocker initiation should have which of the following medication changes?
10.21019/qna-400217,Which of the following is correct regarding the treatment of ADHF?
10.21019/qna-400221,Which statement accurately describes the pharmacologic properties of Toprol-XL?
10.21019/qna-400222,Which of the following adverse effects are associated with chronic oral amiodarone therapy? (Select ALL that apply.)
10.21019/qna-400223,Which antiarrhythmic agent's primary clinical effect is sodium channel blockade?
10.21019/qna-400224,First-degree atrioventricular heart block can be best categorized as a disorder of which of the following?
10.21019/qna-400225,Which of the following can be a symptom of atrial fibrillation? (Select ALL that apply.)
10.21019/qna-400226,Which of the following is a recommended monitoring tool for patients requiring chronic amiodarone therapy? (Select ALL that apply.)
10.21019/qna-400227,Which of the following patients should receive long-term anticoagulation therapy? (Select ALL that apply.)
10.21019/qna-400228,Which of the following best describes dabigatran’s mechanism of action?
10.21019/qna-400229,Which of the following medications would be preferred for control of ventricular rate in a patient with atrial fibrillation and heart failure with reduced ejection fraction?
10.21019/qna-400231,Which of the following genetic polymorphisms impacts a patient's response to warfarin? (Select ALL that apply.)
10.21019/qna-400232,What is the recommended dosage regimen for dofetilide in a patient with a calculated creatinine clearance of 30 mL/min?
10.21019/qna-400233,Sotalol is primarily metabolized by which of the following CYP450 enzymes?
10.21019/qna-400234,The concomitant administration of which drug should be avoided due to increases in dronedarone plasma concentration?
10.21019/qna-400235,"JS is a 66-year-old male with a past medical history of congestive heart failure and hypertension for which he is receiving lisinopril 10 mg PO daily, digoxin 0.25 mg PO daily, carvedilol 25 mg PO BID, and spironolactone 25 mg PO daily. J.S. now presents to the emergency room with a 1-week history of intermittent palpitations and dizziness. A stat EKG reveals atrial fibrillation with a ventricular rate of 130 bpm. The decision is made to attempt to restore normal sinus rhythm. Which of the following represents the best therapeutic approach to cardioverting this patient?"
10.21019/qna-400236,"JS is a 66-year-old male with a past medical history of congestive heart failure and hypertension for which he is receiving lisinopril 10 mg PO daily, digoxin 0.25 mg PO daily, carvedilol 25 mg PO BID, and spironolactone 25 mg PO daily. J.S. now presents to the emergency room with a 1-week history of intermittent palpitations and dizziness. A stat EKG reveals atrial fibrillation with a ventricular rate of 130 bpm. The decision is made to attempt to restore normal sinus rhythm. After the initial successful cardioversion, J.S. continues to have recurrent symptomatic atrial fibrillation episodes. Chronic therapy to maintain sinus rhythm is to be initiated. Which of the following antiarrhythmic drugs would be the best choice to maintain sinus rhythm?"
10.21019/qna-400237,"In a patient with mildly symptomatic paroxysmal supraventricular tachycardia, verapamil should be used for which rhythms? (Select ALL that apply.)"
10.21019/qna-400238,"A 53-year-old patient has a past medical history of myocardial infarction and hypertension. He presents to his doctor complaining of short (about 10 seconds in duration), intermittent palpitations over the past 2 days. Tests rule out an acute myocardial infarction, and an echocardiogram shows a left ventricular ejection fraction of 25%. The patient is sent home with a Holter monitor to identify any arrhythmias. The Holter monitor reveals episodes of PVCs and nonsustained ventricular tachycardia. What is the most appropriate intervention for this patient?"
10.21019/qna-400239,Which of the following may be used in the treatment of torsades de pointes? (Select ALL that apply.)
10.21019/qna-400240,Which of the following antiarrhythmic agents requires dosage adjustment in patients with impaired renal function?
10.21019/qna-400241,Which of the following are characteristics of atrial fibrillation? (Select ALL that apply.)
10.21019/qna-400242,Which of the following would be the best choice for ventricular rate control in a patient with atrial fibrillation secondary to hyperthyroidism?
10.21019/qna-400243,Which of the following is a dose-limiting adverse effect of sotalol?
10.21019/qna-400244,Which of the following agents is only available intravenously?
10.21019/qna-400245,"For which of the following medications, should warfarin dosage adjustment be considered? (Select ALL that apply.)"
10.21019/qna-400252,Which of the following is true regarding the benefit of ACE inhibitors in ischemic heart disease?
10.21019/qna-400259,Which of the following is the preferred analgesic to relieve chest pain in patients with an acute coronary syndrome?
10.21019/qna-400264,A patient with no significant past medical history presents to the emergency department with chest pain and was found to have a non-ST-segment elevation myocardial infarction. A echo shows preserved ejection fraction. Which medications should the patient receive post-MI upon discharge?
10.21019/qna-400268,Which of the following agents would not be administered at the same time as heparin?
10.21019/qna-400277,Cholesterol biosynthesis can be decreased by which of the following?
10.21019/qna-400287,"Which of the following medications has the following warning: ""For patients switching from immediate-release niacin, therapy with this drug should be initiated with a low dose and then titrated to the desired therapeutic response""?"
10.21019/qna-400290,The use of chlorpropamide could be problematic for a patient with which of the following? (Select ALL that apply.)
10.21019/qna-400291,"Due to a renal protection mechanism, the drug class of choice for treatment of hypertension in a patient with coexisting diabetes is which of the following?"
10.21019/qna-400292,One of the most common adverse drug events caused by acarbose is:
10.21019/qna-400293,Which of the following medications can mask the symptoms of hypoglycemia?
10.21019/qna-400294,What change in the following laboratory tests might be observed if prednisone was added to an existing medication regimen that includes acarbose?
10.21019/qna-400295,What is the principal drug-related problem in this patient's medication record?
10.21019/qna-400296,Which of the following are routine monitoring parameters for a person with diabetes? (Select ALL that apply.)
10.21019/qna-400297,Which of the following is inappropriate treatment for a mild hypoglycemic episode?
10.21019/qna-400300,Commercially available insulin may be administered by which of the following routes? (Select ALL that apply.)
10.21019/qna-400302,Insulin dosing is adjusted based on which of the following parameters? (Select ALL that apply.)
10.21019/qna-400310,What sulfonylurea has been associated with a higher incidence of prolonged hypoglycemia in the elderly with advancing age?
10.21019/qna-400314,Metformin would be an option for a patient with which of the following diagnoses?
10.21019/qna-400316,Which of the following is a potentially fatal adverse drug event of Glucophage?
10.21019/qna-400324,Which of the following are signs or symptoms of hypoglycemia? (Select ALL that apply.)
10.21019/qna-400326,"When dispensing Synthroid, which of the following education points should be provided to the patient?"
10.21019/qna-400327,Which of the following conditions could be exacerbated with the use of Synthroid?
10.21019/qna-400333,Which of the following drugs is used to treat Cushing’s disease? (Select ALL that apply)
10.21019/qna-400334,Which of the following drugs works by decreasing cortisol synthesis?
10.21019/qna-400339,Which of the following is LEAST likely to contribute to the increased blood glucose seen in this patient?
10.21019/qna-400340,The patient in Profile #2 is discharged on a new prescription for Deltasone 40 mg once daily for 7 days. He should be instructed to:
10.21019/qna-400344,Which of the following drugs may be used to diagnose adrenal insufficiency?
10.21019/qna-400364,A.J. is a 55-year-old woman who presents to your pharmacy with a prescription for conjugated equine estrogens 0.625 mg daily. She has an intact uterus and her last menstrual period was two years prior. Which of the following statements describes the appropriate action to be taken by the pharmacist?
10.21019/qna-400372,Which of the following diuretics may retain its effectiveness at glomerular filtration rates less than 30 mL/min?
10.21019/qna-400376,A 62-year-old with pneumonia is started on tobramycin therapy. What observation would be most consistent with nephrotoxicity related to tobramycin?
10.21019/qna-400405,Which of the following is true regarding VTE prophylaxis in a patient with an epidural catheter?
10.21019/qna-400406,Which hematologic change over time is most likely due to heparin?
10.21019/qna-400412,Which of the following will increase blood pressure via alpha-1 adrenergic activation? (Select ALL that apply.)
10.21019/qna-400418,Which of the following are the most common electrolyte abnormalities associated with amphotericin B? (Select ALL that apply.)
10.21019/qna-400422,The triceps skinfold measurement is an anthropometric measurement for assessment of:
10.21019/qna-400438,The reasons for using a 0.22-micron filter when administering a 2-in-1 parenteral nutrition formulation include which of the following? (Select ALL that apply.)
10.21019/qna-400445,Which of the following agents that Ms. Tiny is taking can be used to treat breast and prostate cancer? I. Zoladex II. Tamoxifen III. Celebrex
10.21019/qna-400446,
10.21019/qna-400447,Ms. Tiny presents to your pharmacy with complaints of lower leg calf pain that is tender to the touch and red. You suspect a deep vein thrombosis. Which of the following agents was MOST likely to be associated with this? I. Megace II. Goserelin III. Tamoxifen
10.21019/qna-400448,"Ms. Tiny calls you two days after a visit to your pharmacy. She has been feeling a lot of bone pain and describes an “achy, creaky feeling all over.” She is worried that her cancer has spread to her bones. What advice can you give her? (Select ALL that apply.)"
10.21019/qna-400449,Ms. Tiny's mother (age 59) is worried that she will develop breast cancer like her daughter. Which of the following is not an appropriate initial screening test for breast cancer?
10.21019/qna-400454,Stomatitis is the clinical term for which of the following chemotherapy-related adverse effects? I. Nausea and projectile vomiting II. Obstruction of the lower esophageal sphincter III. Inflammation of the mucosal lining of the mouth
10.21019/qna-400456,A nurse would like to know if she can administer the diphenhydramine and the ranitidine in the same IV line simultaneously. Which of the following resources will provide you with this information? I. Wolters Kluwer Health's Facts and Comparisons II. Trissel's Handbook on Injectable Drugs III. Micromedex
10.21019/qna-400457,"Which of the following agents that Mr. Migash is taking requires the premedication regimen of dexamethasone, diphenhydramine, and ranitidine to prevent an anaphylactic reaction? I. Taxotere II. Paraplatin III. Taxol"
10.21019/qna-400458,"Based on the patient's weight and height, you calculate Mr. Migash's body surface area to be 2.1 m2. Paclitaxel is supplied as 6 mg/mL in 5 mL, 16.7 mL, and 50 mL vials. Your pharmacy has all quantities available. What is the best way to correctly dose this patient?"
10.21019/qna-400459,You are concerned that Mr. Migash will develop nausea and vomiting from his chemotherapy regimen. Which of the following regimens would be suitable to prevent acute chemotherapy-induced nausea and vomiting (CINV)?
10.21019/qna-400460,"Based on the patient's lab values, which of the following adverse reactions appear to have occurred as a likely result of the chemotherapy? I. Thrombocytopenia II. Leukopenia III. Anemia"
10.21019/qna-400461,The goal of Mr. Migash's treatment regimen is: I. To cure his disease II. To palliate his disease-related symptoms III. To increase his quality of life
10.21019/qna-400464,Methotrexate (Rheumatrex) is available as which of the following dosage forms? (Select ALL that apply.)
10.21019/qna-400465,Which medication(s) should be given with caution in a patient with a sulfonamide allergy? (Select ALL that apply.)
10.21019/qna-400466,Which of the following combinations of drugs represent therapeutic duplication?
10.21019/qna-400467,Which of the following combinations of drugs have a pharmacokinetic interaction that alters serum drug concentrations? (Select ALL that apply.)
10.21019/qna-400468,Which of the following medications is most likely to cause hyperkalemia?
10.21019/qna-400469,Which medication(s) is/are classified as a calcineurin inhibitor? (Select ALL that apply.)
10.21019/qna-400471,Which medication require bile for emulsification and absorption?
10.21019/qna-400477,Which medication inhibits T-cell activation by binding to the CD25 subunit of the high affinity IL-2 receptor?
10.21019/qna-400479,Which of the following produces a significant pharmacokinetic interaction when administered with azathioprine?
10.21019/qna-400480,Which of these conditions alter the pharmacokinetic profile of cyclosporine? (Select ALL that apply)
10.21019/qna-400485,"Upon binding of antigen displayed by the antigen presenting cell to the T-cell receptor complex, what additional step is required for T-helper cell activation?"
10.21019/qna-400499,Which one of the following may exacerbate GERD symptoms by lowering the LES pressure?
10.21019/qna-400556,Which of the following statements is true regarding phenytoin?
10.21019/qna-400567,Which of the following are associated with significant drug-drug interactions? (Select ALL that apply.)
10.21019/qna-400574,"Which of the following anti-seizure medications is available in a liquid, chewable tablet, and intravenous formulation?"
10.21019/qna-400580,"BT approaches the nursing station with their head twisted to the side. They complain of severe, radiating neck and upper back pain. Which of the following diagnosis and treatment combinations best accounts for BT's presentation?"
10.21019/qna-400596,Which of the following statements is correct regarding benzodiazepines?
10.21019/qna-400608,Which of these fungal infections may be treated effectively with the use of topical antifungal agents? (Select ALL that apply.)
10.21019/qna-400616,Which of the following statement regarding oral retinoids are true? (Select ALL that apply.)
10.21019/qna-400633,Which of the following is the primary advantage of recommending dextromethorphan instead of codeine?
10.21019/qna-400641,Which drug can be used with NSAIDs without risk of drug interactions?
10.21019/qna-400655,Asthma is primarily due to which underlying problem?
10.21019/qna-400656,Which objective measure for routine monitoring of asthma is available at home?
10.21019/qna-400659,"When using a peak flow meter, what percentage of the personal best value is the yellow zone?"
10.21019/qna-400660,What are the trade names for long-acting inhaled beta-2 agonists?
10.21019/qna-400661,Which disease states decrease theophylline metabolism and often result in reduced dosage requirements? (Select ALL that apply.)
10.21019/qna-400670,Which class of drugs is should only be used in patients with severe COPD who have frequent exacerbations?
10.21019/qna-400671,"Which class of drugs is recommended, per GINA guidelines, to control the underlying pathology of asthma?"
10.21019/qna-400672,"Patient Profile: Medication Profile Patient Name: Thomas Johnson Height: 5'10 Date of birth: 9/15/55 Weight: 75 kg Drug allergies: Aspirin sensitivity Allergies: NKA Diagnosis: (1) Asthma (childhood onset, mild persistent) (2) Allergic rhinitis (3) Hypertension Date Rx # Physician Drug and strength Quantity Sig Refills Medications: 3/16 94385 Betts Singulair 20 mg 30 1 at bedtime 3 3/16 94386 Betts Albuterol MDI 1 2 puffs q4h 3/16 94387 Betts Fluticasone nasal spray 1 1 squirt both nostrils bid 3 3/25 95523 T. Jones Lopressor 50 mg 60 1 bid 6 3/27 95734 Betts Albuterol MDI 1 2 puffs q4h 5 Pharmacist notes: 3/16—discussed proper use of MDI and observed patient use. Coached Mr. Johnson to inhale slowly (he was inhaling fast); he used the MDI correctly for the other steps. What is an appropriate alternative to Lopressor in Mr. Johnson?"
10.21019/qna-400673,What concerns should the pharmacist have in this situation regarding theophylline?
10.21019/qna-400674,"Patient Profile. Medication Profile: Patient name: Mrs. S. T. Adams Date of birth: 1-16-37 Height: 5'3"" Weight: 55 kg Drug allergies: Sulfonamides Diagnosis (1) COPD—53 pack/year history of smoking (quit 2 years ago); no exacerbations in 10 years (2) Cirrhosis Medications Rx # Physician Drug and strength Quantity Sig Refills 2/1 884389 Jones Serevent Diskus 11 inhalation q12h 6 2/1 884390 Jones Albuterol MDI 12 puffs q4h prn 6 2/1 884391 Jones Atrovent MDI 12 puffs q6h 6 2/1 884392 Jones Uniphyl 600 mg 30 1 daily 6 pm 2 Pharmacist notes: 2/18—discussed proper use of Diskus and observed patient use; taught Mrs. Adams to inhale deeply and rapidly (she was inhaling slowly for < 2 seconds). Also observed use of MDI (she forgot to exhale gently before pressing down on MDI). The patient has a friend who has COPD and has told her about Spiriva. Mrs. Adams wants to know the opinion of the pharmacist. The best response to provide to her would be which of the following? The patient has a friend who has COPD and has told her about Spiriva. Mrs. Adams wants to know the opinion of the pharmacist. You would say:"
10.21019/qna-400679,The lowest concentration of anti-infective that prevent microbial growth is called which of the following?
10.21019/qna-400680,"Laboratory markers of infections, such as C-reactive protein, white blood count, and erythrocyte sedimentation rate may not be accurate when which of the following is present? (Select ALL that apply.)"
10.21019/qna-400681,Coverage of which of the following as it relates to the infection is the hallmark of empiric therapy?
10.21019/qna-400682,Which of the following occurs when two anti-infective therapies together produce a greater effect than the effects of each used alone?
10.21019/qna-400683,Analysis of the cerebrospinal fluid may give valuable clues to the identity of the pathogen in meningitis. Which of the following findings would be consistent with a fungal meningitis? (Select ALL that apply.)
10.21019/qna-400684,Empiric therapy for meningitis for patients up to 1 month of age includes which of the following?
10.21019/qna-400685,Which of the following is the best option for the treatment of methicillin susceptible staphylococcus aureus endocarditis in a patient with an anaphylactic reaction to penicillin?
10.21019/qna-400686,Patients presenting with acute bronchitis without risk factors should be treated empirically with:
10.21019/qna-400689,Treatment of latent tuberculosis infections where isoniazid-resistant strains of Mycobacterium tuberculosis are predominant should include which of the following?
10.21019/qna-400690,Which of the following is correct regarding the use of antimotility agents in infectious diarrhea?
10.21019/qna-400691,Which of following is most commonly seen in cellulitis?
10.21019/qna-400692,Which of the following is the best empiric regimen to treat prostate infection?
10.21019/qna-400693,With which regimen should tertiary syphilis in adults be treated?
10.21019/qna-400695,Which of the following is the antiviral agent with the widest spectrum of activity against influenza?
10.21019/qna-400696,Herpes infections resistant to acyclovir may be treated with which of the following?
10.21019/qna-400697,Which of the following organisms can be easily cultured using typical techniques?
10.21019/qna-400698,Anti-infective therapy should always be used with infectious diarrhea caused by which organism?
10.21019/qna-400699,"J.B. is an 18-year-old female who just gave birth to her first child. Since she presented without any prenatal care or history, a full prenatal panel of tests including a vaginal swab was taken. Two days after birth, she complained of a purulent vaginal discharge and low-grade fever. Blood cultures were negative, but the vaginal swab revealed the presence of gram-negative cocci. WBCs are elevated at 13,000 cells/mm3. What is the probable infection that JB has?"
10.21019/qna-400700,"J.B. is an 18-year-old female who just gave birth to her first child. Since she presented without any prenatal care or history, a full prenatal panel of tests including a vaginal swab was taken. Two days after birth, she complained of a purulent vaginal discharge and low-grade fever. Blood cultures were negative, but the vaginal swab revealed the presence of gram-negative cocci. WBCs are elevated at 13,000 cells/mm3. What should be done for J.B. and her baby?"
10.21019/qna-400701,"L.B. is a 45-year-old female presenting to the ER with a fever of 103F, flank pain, dysuria, urgency, and frequency. Her laboratory is significant for an increased WBC of 18,000 mm3 and 3% immature forms (bands). Her urinalysis revealed >10^5 cells/mL of gram-negative rods. What does L.B. have?"
10.21019/qna-400702,"L.B. is a 45-year-old female presenting to the ER with a fever of 103F, flank pain, dysuria, urgency, and frequency. Her laboratory is significant for an increased WBC of 18,000 mm3 and 3% immature forms (bands). Her urinalysis revealed >10^5 cells/mL of gram-negative rods. Which of the following therapy options would be most appropriate for L.B.?"
10.21019/qna-400703,Which of the following statements regarding aminoglycoside antibiotics is/are true? (Select ALL that apply.)
10.21019/qna-400704,Which of the following statements most accurately characterize aminoglycoside toxicity? (Select ALL that apply.)
10.21019/qna-400705,Which of the following statements best characterize aminoglycoside antimicrobial activity? (Select ALL that apply.)
10.21019/qna-400707,Which of the following statements is/are true about amphotericin B induced nephrotoxicity? (Select ALL that apply.)
10.21019/qna-400708,Which of the following statements best describe the drug interactions noted with the azole antifungals? (Select ALL that apply.)
10.21019/qna-400711,Quinupristin/dalfopristin exhibits activity against which of the following organisms? (Select ALL that apply.)
10.21019/qna-400712,Vancomycin has activity against which of the following organisms? (Select ALL that apply.)
10.21019/qna-400713,Which of the following statements best describes vancomycin toxicity?
10.21019/qna-400714,Which of the following statements best describes guideline-recommended vancomycin monitoring?
10.21019/qna-400716,Which statements are true regarding the carbapenem antibiotics? (Select ALL that apply.)
10.21019/qna-400717,Which of the following statements best describe the penicillins? (Select ALL that apply.)
10.21019/qna-400719,Which of the following statements best describes the cephalosporins?
10.21019/qna-400720,"Assuming no resistance, first generation cephalosporins cover which of the following pathogens? (Select ALL that apply.)"
10.21019/qna-400721,Which of the following statements best describe the antibacterial activity of the quinolones? (Select ALL that apply.)
10.21019/qna-400722,Which of the following statements best describe the important patient counseling points with the quinolones? (Select ALL that apply.)
10.21019/qna-400723,Which of the following statements best describes the sulfonamides?
10.21019/qna-400725,Which of the following statements best describe the macrolides? (Select ALL that apply.)
10.21019/qna-400726,Which of the following antitubercular agents requires monitoring of LFTs? (Select ALL that apply.)
10.21019/qna-400762,"An 18-year-old, healthy student is told that they need to come to the pharmacy for their routine vaccinations prior to starting college. They will be living in the dormitory at school. They have not received any vaccines since grade school. The patient has the following serologic results: HBsAg — Negative; Total anti-HBc — Negative; Anti-HBs — Positive. The patient is exposed to a patient with hepatitis A 1 month later. They should receive which of the following vaccines?"
10.21019/qna-400763,The high dose influenza vaccine is FDA approved for which of the following patient populations?
10.21019/qna-400783,"Otitis externa or ""swimmer’s ear"" may be treated with which of the following?"
10.21019/qna-400801,Which of the following is correct in regards to taking donepezil?
10.21019/qna-400819,Alpha-2-Adrenergic agonists cause which of the following? (Select ALL that apply.)
10.21019/qna-400824,"A policeman presents to the emergency room with a rash, fearing he was exposed to a biological weapon several days before the rash appeared. You notice the rash is forming pustules and is most prominent on the face and extremities. The patient says the rash developed all at once. What is the recommended treatment for smallpox? (Select ALL that apply.)"
10.21019/qna-400825,Which of the following statements regarding the smallpox vaccine (ACAM2000) is true? (Select ALL that apply.)
10.21019/qna-400827,"A patient presents with a black, necrotic, painless skin lesion on their arm. The patient also complains of fever, malaise, headache, and swelling of her underarm lymph nodes. The recommended first-line empiric antibiotic treatment for anthrax may include which of the following? (Select ALL that apply.)"
10.21019/qna-400832,Which of the following statements is true regarding the use of ipecac syrup? (Select ALL that apply.)
10.21019/qna-400833,Which one of the following is the desired effect of activated charcoal? (Select ALL that apply.)
10.21019/qna-400834,Which one of the following drugs is routinely indicated for the treatment of acetaminophen poisoning?
10.21019/qna-400839,Which medication could present a problem with Mr. McBeavy’s iron supplement?
10.21019/qna-400840,A patients admits they are unable to take their iron tablet (ferrous sulfate) consistently because it makes them nauseated. What is the best advice you give the patient at this time?
10.21019/qna-400841,"If a patient’s anemia progresses to severe stages, what effects may they experience? (Select ALL that apply.)"
10.21019/qna-400842,"If you examined the blood smear of a patient with iron deficiency anemia, you would find cells that are which of the following?"
10.21019/qna-400843,"When examining a patient's iron study results, which of the following would be consistent with iron deficiency anemia?"
10.21019/qna-400846,"To optimize iron absorption from meals, which of the following would you advise a patient to drink with meals?"
10.21019/qna-400848,Vitamin B12 requires the following to be absorbed:
10.21019/qna-400858,Which of the following needs to be monitored upon starting epoetin therapy? (Select ALL that apply.)
10.21019/qna-400859,"In adults with anemia and CKD treated with an erythropoiesis-stimulating agent (ESA), which hemoglobin target, in g/dL, is recommended"
10.21019/qna-400860,Which of the following medications will interact with epoetin?
10.21019/qna-400861,"In a patient with Stage 5 CKD receiving hemodialysis and a ferritin = 62 ng/mL and TSAT= 14%, which therapy should be initiated prior to ESA therapy?"
10.21019/qna-400867,Which laboratory test is used to monitor the anticoagulant effect of heparin?
10.21019/qna-400871,Which of the following foods can decrease the anticoagulant effect of warfarin? (Select ALL that apply.)
10.21019/qna-400886,"JS is a 14 year-old, 123-lb. black male who was rushed to the hospital during a basketball game due to wheezing and SOB. JS experienced respiratory distress in the ED and was admitted to the ICU for an asthma exacerbation. After routine asthma protocol meds have been given, JS is still in respiratory distress. The plan is to initiate theophylline by continuous infusion at a rate of 0.6 mg/kg/hr. You have a bag of aminophylline which is 1mg/ml. What rate will deliver the appropriate amount of theophylline?"
10.21019/qna-400887,"A 56 year old presented to the emergency department with fever and shortness of breath. They were admitted to the adult medicine team and diagnosed with community acquired pneumonia (CAP). According to the guidelines of the Infectious Disease Society of America, what is the best empiric regimen to cover the pathogens typically associated with community acquired pneumonia in a patient who does not have additional risk factors for healthcare-associated or drug resistant organisms?"
10.21019/qna-400888,JS is a 14-year-old who recently received a splenectomy. They are up to date on childhood vaccines. What vaccinations does JS need due to the splenectomy? (Select ALL that apply.)
10.21019/qna-400889,"JS is a 14-year-old, 123-lb. male who was rushed to the hospital during a basketball game due to wheezing and SOB. JS experienced respiratory distress in the ED and was admitted to the ICU for an asthma exacerbation. PMH: asthma with 2 ICU admissions in the past year, Sickle Cell Disease Allergies: Aspirin Home Meds: Montelukast 10 mg qday, Advair 250/50 1 inhalation bid, Proair 1-2 puffs q4-6h PRN, Ibuprofen 600 mg q6h PRN HA. Hospital Meds:continuous nebulization 0.5 mg q2h 0.5 mg bid After receiving inhaled beta-agonists, anticholinergics, and systemic corticosteroids per protocol, JS remains in severe respiratory distress. According to the current guidelines, what addition needs to be made to JS's inpatient regimen?"
